country_code,year,digital_multi,digital_single,genai_share,climate_target_share,physical_risk_major,transition_risk_share,already_invested_climate,digital_any
AT,2021,,,,,,,0.48,
AT,2022,,,,,,,0.66,
AT,2023,0.56,0.26,,0.48,0.23,0.31,0.59,0.8200000000000001
AT,2024,0.6,0.23,,0.47,0.22,0.3,0.7,0.83
AT,2025,0.6,0.27,0.45,0.47,0.23,0.32,0.73,0.87
BE,2021,,,,,,,0.57,
BE,2022,,,,,,,0.46,
BE,2023,0.58,0.19,,0.47,0.19,0.3,0.75,0.77
BE,2024,0.71,0.2,,0.48,0.17,0.28,0.54,0.9099999999999999
BE,2025,0.6,0.18,0.5,0.62,0.14,0.18,0.71,0.78
BG,2021,,,,,,,0.23,
BG,2022,,,,,,,0.34,
BG,2023,0.24,0.33,,0.23,0.2,0.3,0.51,0.5700000000000001
BG,2024,0.26,0.31,,0.2,0.24,0.35,0.56,0.5700000000000001
BG,2025,0.35,0.3,0.22,0.25,0.25,0.38,0.55,0.6499999999999999
CY,2021,,,,,,,0.13,
CY,2022,,,,,,,0.13,
CY,2023,0.29,0.27,,0.24,0.3,0.2,0.25,0.56
CY,2024,0.37,0.25,,0.2,0.19,0.29,0.24,0.62
CY,2025,0.32,0.26,0.24,0.2,0.29,0.25,0.22,0.5800000000000001
CZ,2021,,,,,,,0.39,
CZ,2022,,,,,,,0.54,
CZ,2023,0.59,0.2,,0.33,0.12,0.41,0.71,0.79
CZ,2024,0.64,0.26,,0.35,0.08,0.3,0.54,0.9
CZ,2025,0.48,0.3,0.49,0.34,0.11,0.47,0.52,0.78
DE,2021,,,,,,,0.48,
DE,2022,,,,,,,0.65,
DE,2023,0.41,0.33,,0.42,0.17,0.37,0.55,0.74
DE,2024,0.5,0.26,,0.51,0.18,0.41,0.66,0.76
DE,2025,0.56,0.26,0.39,0.45,0.2,0.37,0.66,0.8200000000000001
DK,2021,,,,,,,0.58,
DK,2022,,,,,,,0.63,
DK,2023,0.53,0.24,,0.42,0.08,0.24,0.69,0.77
DK,2024,0.64,0.23,,0.62,0.17,0.29,0.58,0.87
DK,2025,0.72,0.2,0.58,0.64,0.23,0.32,0.61,0.9199999999999999
EE,2021,,,,,,,0.27,
EE,2022,,,,,,,0.54,
EE,2023,0.38,0.24,,0.26,0.21,0.44,0.51,0.62
EE,2024,0.4,0.27,,0.41,0.19,0.48,0.47,0.67
EE,2025,0.4,0.32,0.37,0.33,0.11,0.45,0.51,0.72
EL,2021,,,,,,,0.17,
EL,2022,,,,,,,0.27,
EL,2023,0.39,0.23,,0.25,0.2,0.21,0.24,0.62
EL,2024,0.32,0.22,,0.29,0.32,0.29,0.35,0.54
EL,2025,0.31,0.26,0.19,0.33,0.23,0.3,0.42,0.5700000000000001
ES,2021,,,,,,,0.34,
ES,2022,,,,,,,0.53,
ES,2023,0.56,0.22,,0.49,0.38,0.33,0.66,0.78
ES,2024,0.59,0.22,,0.5,0.38,0.31,0.68,0.8099999999999999
ES,2025,0.66,0.19,0.5,0.6,0.35,0.34,0.75,0.8500000000000001
FI,2021,,,,,,,0.54,
FI,2022,,,,,,,0.77,
FI,2023,0.54,0.28,,0.49,0.09,0.23,0.72,0.8200000000000001
FI,2024,0.62,0.18,,0.6,0.06,0.15,0.72,0.8
FI,2025,0.58,0.21,0.66,0.61,0.03,0.21,0.7,0.7899999999999999
FR,2021,,,,,,,0.37,
FR,2022,,,,,,,0.39,
FR,2023,0.23,0.36,,0.53,0.19,0.36,0.66,0.59
FR,2024,0.33,0.3,,0.57,0.23,0.4,0.7,0.63
FR,2025,0.29,0.32,0.24,0.52,0.3,0.43,0.71,0.61
HR,2021,,,,,,,0.22,
HR,2022,,,,,,,0.33,
HR,2023,0.32,0.32,,0.29,0.19,0.22,0.31,0.64
HR,2024,0.33,0.28,,0.32,0.21,0.2,0.48,0.6100000000000001
HR,2025,0.29,0.26,0.23,0.36,0.21,0.24,0.43,0.55
HU,2021,,,,,,,0.29,
HU,2022,,,,,,,0.43,
HU,2023,0.28,0.26,,0.51,0.15,0.43,0.36,0.54
HU,2024,0.25,0.27,,0.49,0.14,0.37,0.4,0.52
HU,2025,0.37,0.24,0.21,0.52,0.18,0.32,0.44,0.61
IE,2021,,,,,,,0.14,
IE,2022,,,,,,,0.26,
IE,2023,0.48,0.3,,0.35,0.15,0.27,0.3,0.78
IE,2024,0.47,0.28,,0.4,0.21,0.41,0.43,0.75
IE,2025,0.45,0.27,0.34,0.32,0.13,0.32,0.53,0.72
IT,2021,,,,,,,0.35,
IT,2022,,,,,,,0.36,
IT,2023,0.42,0.28,,0.38,0.23,0.28,0.38,0.7
IT,2024,0.44,0.28,,0.4,0.23,0.22,0.57,0.72
IT,2025,0.45,0.29,0.2,0.35,0.23,0.3,0.65,0.74
LT,2021,,,,,,,0.49,
LT,2022,,,,,,,0.61,
LT,2023,0.36,0.32,,0.32,0.12,0.48,0.72,0.6799999999999999
LT,2024,0.34,0.3,,0.31,0.21,0.59,0.71,0.64
LT,2025,0.44,0.27,0.44,0.32,0.17,0.59,0.74,0.71
LU,2021,,,,,,,0.36,
LU,2022,,,,,,,0.22,
LU,2023,0.36,0.36,,0.38,0.28,0.36,0.58,0.72
LU,2024,0.3,0.25,,0.37,0.2,0.32,0.71,0.55
LU,2025,0.36,0.4,0.43,0.41,0.19,0.46,0.73,0.76
LV,2021,,,,,,,0.29,
LV,2022,,,,,,,0.43,
LV,2023,0.39,0.19,,0.3,0.12,0.25,0.39,0.5800000000000001
LV,2024,0.35,0.24,,0.49,0.2,0.46,0.48,0.59
LV,2025,0.6,0.15,0.38,0.4,0.22,0.44,0.57,0.75
MT,2021,,,,,,,0.42,
MT,2022,,,,,,,0.48,
MT,2023,0.55,0.2,,0.45,0.22,0.41,0.72,0.75
MT,2024,0.54,0.22,,0.45,0.18,0.27,0.79,0.76
MT,2025,0.6,0.17,0.41,0.4,0.15,0.2,0.72,0.77
NL,2021,,,,,,,0.68,
NL,2022,,,,,,,0.75,
NL,2023,0.56,0.23,,0.49,0.17,0.22,0.78,0.79
NL,2024,0.57,0.33,,0.5,0.1,0.3,0.58,0.8999999999999999
NL,2025,0.65,0.2,0.54,0.57,0.13,0.32,0.75,0.8500000000000001
PL,2021,,,,,,,0.39,
PL,2022,,,,,,,0.51,
PL,2023,0.32,0.29,,0.37,0.17,0.39,0.55,0.61
PL,2024,0.41,0.25,,0.44,0.14,0.47,0.54,0.6599999999999999
PL,2025,0.42,0.23,0.26,0.45,0.21,0.52,0.51,0.65
PT,2021,,,,,,,0.36,
PT,2022,,,,,,,0.46,
PT,2023,0.32,0.24,,0.39,0.23,0.3,0.5,0.56
PT,2024,0.41,0.24,,0.36,0.27,0.27,0.54,0.6499999999999999
PT,2025,0.41,0.29,0.24,0.43,0.29,0.31,0.64,0.7
RO,2021,,,,,,,0.4,
RO,2022,,,,,,,0.55,
RO,2023,0.35,0.31,,0.3,0.23,0.32,0.5,0.6599999999999999
RO,2024,0.32,0.39,,0.41,0.26,0.27,0.59,0.71
RO,2025,0.48,0.27,0.31,0.4,0.29,0.35,0.54,0.75
SE,2021,,,,,,,0.4,
SE,2022,,,,,,,0.56,
SE,2023,0.58,0.2,,0.68,0.1,0.25,0.56,0.78
SE,2024,0.58,0.26,,0.64,0.15,0.28,0.57,0.84
SE,2025,0.66,0.2,0.49,0.67,0.2,0.29,0.61,0.8600000000000001
SI,2021,,,,,,,0.26,
SI,2022,,,,,,,0.55,
SI,2023,0.54,0.25,,0.34,0.19,0.33,0.57,0.79
SI,2024,0.52,0.28,,0.38,0.2,0.33,0.63,0.8
SI,2025,0.56,0.24,0.41,0.42,0.23,0.39,0.65,0.8
SK,2021,,,,,,,0.27,
SK,2022,,,,,,,0.54,
SK,2023,0.35,0.39,,0.26,0.16,0.47,0.57,0.74
SK,2024,0.41,0.35,,0.34,0.27,0.48,0.57,0.76
SK,2025,0.49,0.29,0.35,0.33,0.2,0.59,0.51,0.78
